"4064662";1.00;0.00;465.84;"99";/  /;"010100020";1996/02/01;"A"
"4066084";0.00;10381.72;0.00;"99";1904/08/31;"010300067";1996/02/01;"I"
"4066260";0.00;0.00;0.00;"99";1999/12/31;"010100023";1996/02/01;"I"
"4066354";0.00;0.00;0.00;"99";1999/12/31;"060300602";1996/02/01;"I"
"4068448";5.00;0.00;1224.97;"99";/  /;"010400088";1996/02/01;"A"
"4071010";10.00;0.00;2677.06;"99";/  /;"070700176";1996/02/01;"A"
"4072357";0.00;0.00;0.00;"99";1999/12/31;"040300821";1996/02/01;"I"
"4181269";0.00;0.00;434.41;"99";/  /;"010501081";1996/02/01;"A"
"4194070";1.00;0.00;445.71;"99";/  /;"010300655";1996/02/01;"A"
"4196002";0.00;0.00;0.00;"99";1999/12/31;"010700463";1996/02/01;"I"
"4200333";0.00;0.00;0.00;"99";1999/12/31;"010200369";1996/02/01;"I"
"4265754";0.00;880.78;0.00;"99";1904/08/31;"010500939";1996/02/01;"I"
"4342629";0.00;0.00;0.00;"99";1999/12/31;"040201224";1996/02/01;"I"
"4377852";1.00;0.00;459.29;"99";/  /;"051000432";1996/02/01;"A"
"4379516";0.00;1739.05;0.00;"99";1904/08/31;"010500416";1996/02/01;"I"
"4379736";3.00;0.00;961.04;"99";/  /;"040200745";1996/02/01;"A"
"4383705";500.00;0.00;6800.21;"99";/  /;"050700728";1996/02/01;"A"
"4385880";10.00;0.00;1619.91;"99";/  /;"010200533";1996/02/01;"A"
"4386634";1.00;0.00;459.29;"99";/  /;"010300562";1996/02/01;"A"
"4720097";1.00;0.00;465.84;"99";/  /;"010500498";1996/02/01;"A"
"4720396";0.00;1837.76;0.00;"99";1904/08/31;"040200119";1996/02/01;"I"
"4726393";0.00;0.00;0.00;"99";1999/12/31;"010300564";1996/02/01;"I"
"4728365";1.00;0.00;445.71;"99";/  /;"010201104";1996/02/01;"A"
"4729290";0.00;0.00;3100.39;"99";/  /;"010300059";1996/02/01;"I"
"4730282";1.00;0.00;445.71;"99";/  /;"010401084";1996/02/01;"A"
"4731284";0.00;0.00;0.00;"99";1999/12/31;"070200648";1996/02/01;"I"
"4736352";10000.00;0.00;6084.17;"99";/  /;"010300062";1996/02/01;"A"
"4737600";0.00;0.00;0.00;"99";1999/12/31;"010500828";1996/02/01;"I"
"4738399";0.00;0.00;3432.03;"99";/  /;"010300513";1996/02/01;"I"
"4739646";10.00;0.00;1655.56;"99";/  /;"010401176";1996/02/01;"A"
"4797018";20000.00;0.00;16435.38;"99";/  /;"010300001";1996/02/01;"A"
"4803667";1.00;0.00;179.15;"99";/  /;"010700594";1996/02/01;"A"
"4805580";0.00;0.00;354.36;"99";/  /;"030301146";1996/02/01;"A"
"4836843";0.00;0.00;0.00;"99";1999/09/30;"010700624";1996/02/01;"I"
"519879";0.00;0.00;1872.88;"99";/  /;"030400358";1996/02/01;"A"
"5242622";0.00;7.01;0.00;"99";1904/08/31;"010600104";1996/02/01;"I"
"5243733";2000.00;0.00;4503.80;"99";/  /;"051000449";1996/02/01;"A"
"5245003";300.00;0.00;736.53;"99";/  /;"060100159";1996/02/01;"A"
"5246076";0.00;0.00;0.00;"99";1999/12/31;"010600105";1996/02/01;"I"
"5248742";0.00;0.00;0.00;"99";1999/12/31;"010100030";1996/02/01;"I"
"5250823";0.00;0.00;0.00;"99";1999/12/31;"060300166";1996/02/01;"I"
"5251109";0.00;980.90;0.00;"99";1904/08/31;"070701007";1996/02/01;"I"
"5261018";0.00;0.00;0.00;"99";1904/07/31;"010300636";1996/02/01;"I"
"5314714";1.00;0.00;445.71;"99";/  /;"020100595";1996/02/01;"A"
"5323487";0.00;0.00;0.00;"99";1999/12/31;"050400005";1996/02/01;"I"
"5542763";0.00;3194.68;0.00;"99";1904/08/31;"010200525";1996/02/01;"I"
"5765143";0.00;0.00;0.00;"99";1999/12/31;"010101011";1996/02/01;"I"
"5930501";0.00;0.00;0.00;"99";1999/12/31;"060100892";1996/02/01;"I"
"6011451";150.00;0.00;2809.38;"99";/  /;"010100972";1996/02/01;"A"
"7301589";0.00;0.00;0.00;"99";1999/12/31;"010300003";1996/02/01;"I"
"7303060";0.00;0.00;0.00;"99";1999/12/31;"010500098";1996/02/01;"I"
"7309374";20.00;0.00;1825.72;"99";/  /;"010500959";1996/02/01;"A"
"7313918";0.00;0.00;381.25;"99";/  /;"050800626";1996/02/01;"I"
"7314731";10.00;0.00;2326.37;"99";/  /;"010500229";1996/02/01;"A"
"7316940";5.00;0.00;1491.11;"99";/  /;"060100930";1996/02/01;"A"
"7319870";0.00;0.00;985.71;"99";/  /;"050500138";1996/02/01;"I"
"7319905";0.00;0.00;0.00;"99";1999/12/31;"030400298";1996/02/01;"I"
"7323089";1.00;0.00;459.30;"99";/  /;"010600962";1996/02/01;"A"
"7332411";0.00;4772.51;0.00;"99";1904/08/31;"040200578";1996/02/01;"I"
"7336501";2.00;0.00;502.78;"99";/  /;"010200992";1996/02/01;"A"
"7342071";30.00;0.00;2530.54;"99";/  /;"010400833";1996/02/01;"A"
"7344293";1.00;0.00;445.71;"99";/  /;"010400893";1996/02/01;"A"
"7347892";10.00;0.00;1738.90;"99";/  /;"050700599";1996/02/01;"A"
"7351308";1.00;0.00;459.30;"99";/  /;"040200926";1996/02/01;"A"
"7355968";0.00;1739.05;0.00;"99";1904/08/31;"010600990";1996/02/01;"I"
"7357051";0.00;1283.12;0.00;"99";1904/08/31;"010500447";1996/02/01;"I"
"7363618";0.00;1778.84;0.00;"99";1904/08/31;"010101132";1996/02/01;"I"
"7375966";5000.00;0.00;3326.45;"99";/  /;"010600983";1996/02/01;"A"
"7377168";0.00;0.00;0.00;"99";1999/12/31;"060100957";1996/02/01;"I"
"7377253";1.00;0.00;465.84;"99";/  /;"030300521";1996/02/01;"A"
"7380377";0.00;0.00;0.00;"99";1999/12/31;"010600874";1996/02/01;"I"
"7384592";0.00;0.00;0.00;"99";1999/12/31;"010201154";1996/02/01;"I"
"7387921";0.00;0.00;0.00;"99";1999/12/31;"010100616";1996/02/01;"I"
"7388980";10.00;0.00;2072.19;"99";/  /;"010401251";1996/02/01;"A"
"7394359";1.00;0.00;452.49;"99";/  /;"060100762";1996/02/01;"A"
"7400913";0.00;0.00;455.52;"99";1999/12/31;"040200318";1996/02/01;"I"
"7413385";0.00;2888.33;0.00;"99";1904/08/31;"050700537";1996/02/01;"I"
"7415319";300.00;0.00;728.49;"99";/  /;"090401109";1996/02/01;"A"
"7415522";30000.00;0.00;7923.46;"99";/  /;"010500938";1996/02/01;"A"
"7416152";0.00;1114.52;0.00;"99";1904/08/31;"010601085";1996/02/01;"I"
"7422563";0.00;673.83;0.00;"99";1904/08/31;"010200484";1996/02/01;"I"
"7435131";100.00;5932.86;3770.50;"99";1904/08/31;"040201226";1996/02/01;"A"
"7438017";2.00;0.00;478.79;"99";/  /;"040301271";1996/02/01;"A"
"7450726";0.00;0.00;0.00;"99";1999/12/31;"030300267";1996/02/01;"I"
"7469015";5.00;0.00;667.16;"99";/  /;"010100970";1996/02/01;"A"
"7829633";0.00;0.00;445.71;"99";/  /;"010500541";1996/02/01;"I"
"7834681";1.00;0.00;458.97;"99";/  /;"100901266";1996/02/01;"A"
"7913972";10.00;0.00;1602.28;"99";/  /;"050300956";1996/02/01;"A"
"8065284";2.00;0.00;891.31;"99";/  /;"050500474";1996/02/01;"A"
"8497559";0.00;0.00;598.20;"99";/  /;"010500545";1996/02/01;"I"
